,,,,,,,,,,,,FY 2015 3-YEAR COHORT DEFAULT RATES,,,
1116,ART CENTER COLLEGE OF DESIGN                                     ,1700 LIDA STREET                                  ,PASADENA            ,CA,CALIFORNIA                                                  ,91103,1999,8,Master's Degree or Doctor's Degree,2,Nonprofit,2015,21,415,5
1117,AZUSA PACIFIC UNIVERSITY                                         ,901 EAST ALOSTA AVENUE                            ,AZUSA               ,CA,CALIFORNIA                                                  ,91702,7000,8,Master's Degree or Doctor's Degree,2,Nonprofit,2015,123,3593,3.4
1118,BAKERSFIELD COLLEGE                                              ,1801 PANORAMA DRIVE                               ,BAKERSFIELD         ,CA,CALIFORNIA                                                  ,93305,1299,6,Bachelor's Degree,1,Public,2015,87,386,22.5
1120,AMERICAN BAPTIST SEMINARY OF THE WEST                            ,2606 DWIGHT WAY                                   ,BERKELEY            ,CA,CALIFORNIA                                                  ,94704,3029,8,Master's Degree or Doctor's Degree,2,Nonprofit,2015,1,47,2.1
1122,BIOLA UNIVERSITY                                                 ,13800 BIOLA AVENUE                                ,LA MIRADA           ,CA,CALIFORNIA                                                  ,90639,1,8,Master's Degree or Doctor's Degree,2,Nonprofit,2015,39,1311,2.9
1124,CABRILLO COLLEGE                                                 ,6500 SOQUEL DRIVE                                 ,APTOS               ,CA,CALIFORNIA                                                  ,95003,3194,5,Associate's Degree,1,Public,2015,57,347,16.4
1125,CALIFORNIA BAPTIST UNIVERSITY                                    ,8432 MAGNOLIA AVENUE                              ,RIVERSIDE           ,CA,CALIFORNIA                                                  ,92504,3297,8,Master's Degree or Doctor's Degree,2,Nonprofit,2015,95,2381,3.9
1127,CALIFORNIA COLLEGE OF THE ARTS                                   ,1111 EIGHTH STREET                                ,SAN FRANCISCO       ,CA,CALIFORNIA                                                  ,94107,2206,8,Master's Degree or Doctor's Degree,2,Nonprofit,2015,19,467,4
1131,CALIFORNIA INSTITUTE OF TECHNOLOGY                               ,1200 EAST CALIFORNIA BOULEVARD                    ,PASADENA            ,CA,CALIFORNIA                                                  ,91125,1,8,Master's Degree or Doctor's Degree,2,Nonprofit,2015,1,30,3.3
1132,CALIFORNIA INSTITUTE OF THE ARTS                                 ,24700 MCBEAN PARKWAY                              ,VALENCIA            ,CA,CALIFORNIA                                                  ,91355,2397,8,Master's Degree or Doctor's Degree,2,Nonprofit,2015,25,392,6.3
1133,CALIFORNIA LUTHERAN UNIVERSITY                                   ,60 WEST OLSEN ROAD                                ,THOUSAND OAKS       ,CA,CALIFORNIA                                                  ,91360,2787,8,Master's Degree or Doctor's Degree,2,Nonprofit,2015,37,1193,3.1
1134,CALIFORNIA STATE UNIVERSITY MARITIME ACADEMY                     ,200 MARITIME ACADEMY DRIVE                        ,VALLEJO             ,CA,CALIFORNIA                                                  ,94590,8181,8,Master's Degree or Doctor's Degree,1,Public,2015,10,262,3.8
1137,"CALIFORNIA STATE UNIVERSITY, FULLERTON                           ",800 NORTH STATE COLLEGE BOULEVARD                 ,FULLERTON           ,CA,CALIFORNIA                                                  ,92831,3599,8,Master's Degree or Doctor's Degree,1,Public,2015,230,5872,3.9
1138,"CALIFORNIA STATE UNIVERSITY, EAST BAY                            ",25800 CARLOS BEE BOULEVARD                        ,HAYWARD             ,CA,CALIFORNIA                                                  ,94542,3000,8,Master's Degree or Doctor's Degree,1,Public,2015,189,3180,5.9
1139,"CALIFORNIA STATE UNIVERSITY, LONG BEACH                          ",1250 BELLFLOWER BOULEVARD                         ,LONG BEACH          ,CA,CALIFORNIA                                                  ,90840,6,8,Master's Degree or Doctor's Degree,1,Public,2015,241,6658,3.6
1140,"CALIFORNIA STATE UNIVERSITY, LOS ANGELES                         ",5151 STATE UNIVERSITY DRIVE                       ,LOS ANGELES         ,CA,CALIFORNIA                                                  ,90032,4226,8,Master's Degree or Doctor's Degree,1,Public,2015,244,4471,5.4
1141,"CALIFORNIA STATE UNIVERSITY, DOMINGUEZ HILLS                     ",1000 EAST VICTORIA STREET                         ,CARSON              ,CA,CALIFORNIA                                                  ,90747,1,8,Master's Degree or Doctor's Degree,1,Public,2015,260,3377,7.6
1142,"CALIFORNIA STATE UNIVERSITY, SAN BERNARDINO                      ",5500 UNIVERSITY PARKWAY                           ,SAN BERNARDINO      ,CA,CALIFORNIA                                                  ,92407,2397,8,Master's Degree or Doctor's Degree,1,Public,2015,226,3812,5.9
1143,CALIFORNIA POLYTECHNIC STATE UNIVERSITY                          ,ONE GRAND AVENUE                                  ,SAN LUIS OBISPO     ,CA,CALIFORNIA                                                  ,93407,1,8,Master's Degree or Doctor's Degree,1,Public,2015,45,2989,1.5
1144,"CALIFORNIA STATE POLYTECHNIC UNIVERSITY, POMONA                  ",3801 WEST TEMPLE AVENUE                           ,POMONA              ,CA,CALIFORNIA                                                  ,91768,2500,8,Master's Degree or Doctor's Degree,1,Public,2015,134,3538,3.7
1146,"CALIFORNIA STATE UNIVERSITY, CHICO                               ",400 WEST FIRST STREET                             ,CHICO               ,CA,CALIFORNIA                                                  ,95929,1,8,Master's Degree or Doctor's Degree,1,Public,2015,147,3040,4.8
1147,"CALIFORNIA STATE UNIVERSITY, FRESNO                              ",5150 NORTH MAPLE AVENUE            MS JA64        ,FRESNO              ,CA,CALIFORNIA                                                  ,93740,8026,8,Master's Degree or Doctor's Degree,1,Public,2015,194,3849,5
1149,HUMBOLDT STATE UNIVERSITY                                        ,1 HARPST STREET                                   ,ARCATA              ,CA,CALIFORNIA                                                  ,95521,8299,8,Master's Degree or Doctor's Degree,1,Public,2015,141,2068,6.8
1150,CALIFORNIA STATE UNIVERSITY - SACRAMENTO                         ,6000 J STREET                                     ,SACRAMENTO          ,CA,CALIFORNIA                                                  ,95819,6044,8,Master's Degree or Doctor's Degree,1,Public,2015,322,5927,5.4
1151,SAN DIEGO STATE UNIVERSITY                                       ,5500 CAMPANILE DRIVE                              ,SAN DIEGO           ,CA,CALIFORNIA                                                  ,92182,1690,8,Master's Degree or Doctor's Degree,1,Public,2015,159,5512,2.8
1153,"CALIFORNIA STATE UNIVERSITY, NORTHRIDGE                          ",18111 NORDHOFF                                    ,NORTHRIDGE          ,CA,CALIFORNIA                                                  ,91330,8307,8,Master's Degree or Doctor's Degree,1,Public,2015,413,7546,5.4
1154,SAN FRANCISCO STATE UNIVERSITY                                   ,1600 HOLLOWAY AVENUE                              ,SAN FRANCISCO       ,CA,CALIFORNIA                                                  ,94132,1740,8,Master's Degree or Doctor's Degree,1,Public,2015,270,5552,4.8
1155,SAN JOSE STATE UNIVERSITY                                        ,ONE WASHINGTON SQUARE                             ,SAN JOSE            ,CA,CALIFORNIA                                                  ,95192,36,8,Master's Degree or Doctor's Degree,1,Public,2015,191,5401,3.5
1156,SONOMA STATE UNIVERSITY                                          ,1801 EAST COTATI AVENUE                           ,ROHNERT PARK        ,CA,CALIFORNIA                                                  ,94928,3609,8,Master's Degree or Doctor's Degree,1,Public,2015,91,1720,5.2
1157,"CALIFORNIA STATE UNIVERSITY, STANISLAUS                          ",ONE UNIVERSITY CIRCLE                             ,TURLOCK             ,CA,CALIFORNIA                                                  ,95382,299,8,Master's Degree or Doctor's Degree,1,Public,2015,87,1882,4.6
1161,CERRITOS COMMUNITY COLLEGE                                       ,11110 ALONDRA BOULEVARD                           ,NORWALK             ,CA,CALIFORNIA                                                  ,90650,6296,5,Associate's Degree,1,Public,2015,104,620,16.7
1162,CHABOT COLLEGE                                                   ,25555 HESPERIAN BOULEVARD                         ,HAYWARD             ,CA,CALIFORNIA                                                  ,94545,2400,5,Associate's Degree,1,Public,2015,24,196,12.2
1163,CHAFFEY COMMUNITY COLLEGE                                        ,5885 HAVEN AVENUE                                 ,RANCHO CUCAMONGA    ,CA,CALIFORNIA                                                  ,91737,9400,5,Associate's Degree,1,Public,2015,3,50,6
1164,CHAPMAN UNIVERSITY                                               ,ONE UNIVERSITY DRIVE                              ,ORANGE              ,CA,CALIFORNIA                                                  ,92866,1099,8,Master's Degree or Doctor's Degree,2,Nonprofit,2015,39,1736,2.2
1165,CHURCH DIVINITY SCHOOL OF THE PACIFIC                            ,2451 RIDGE ROAD                                   ,BERKELEY            ,CA,CALIFORNIA                                                  ,94709,1217,8,Master's Degree or Doctor's Degree,2,Nonprofit,2015,1,48,2
1166,CITRUS COMMUNITY COLLEGE                                         ,1000 WEST FOOTHILL BOULEVARD                      ,GLENDORA            ,CA,CALIFORNIA                                                  ,91741,1899,5,Associate's Degree,1,Public,2015,41,290,14.1
1169,CLAREMONT GRADUATE UNIVERSITY                                    ,170 EAST 10TH STREET                              ,CLAREMONT           ,CA,CALIFORNIA                                                  ,91711,6163,8,Master's Degree or Doctor's Degree,2,Nonprofit,2015,17,460,3.6
1170,CLAREMONT MCKENNA COLLEGE                                        ,500 EAST NINTH STREET                             ,CLAREMONT           ,CA,CALIFORNIA                                                  ,91711,6400,8,Master's Degree or Doctor's Degree,2,Nonprofit,2015,1,79,1.2
1171,HARVEY MUDD COLLEGE                                              ,301 PLATT BOULEVARD                               ,CLAREMONT           ,CA,CALIFORNIA                                                  ,91711,5990,6,Bachelor's Degree,2,Nonprofit,2015,1,124,0.8
1172,PITZER COLLEGE                                                   ,1050 NORTH MILLS AVENUE                           ,CLAREMONT           ,CA,CALIFORNIA                                                  ,91711,6101,6,Bachelor's Degree,2,Nonprofit,2015,5,127,3.9
1173,POMONA COLLEGE                                                   ,550 NORTH COLLEGE AVENUE                          ,CLAREMONT           ,CA,CALIFORNIA                                                  ,91711,6301,6,Bachelor's Degree,2,Nonprofit,2015,0,68,0
1174,SCRIPPS COLLEGE                                                  ,1030 COLUMBIA AVENUE                              ,CLAREMONT           ,CA,CALIFORNIA                                                  ,91711,3948,6,Bachelor's Degree,2,Nonprofit,2015,2,126,1.5
1176,WEST HILLS COMMUNITY COLLEGE                                     ,300 CHERRY LANE                                   ,COALINGA            ,CA,CALIFORNIA                                                  ,93210,1399,5,Associate's Degree,1,Public,2015,40,165,24.2
1177,COGSWELL POLYTECHNICAL COLLEGE                                   ,191 BAYPOINTE PARKWAY                             ,SAN JOSE            ,CA,CALIFORNIA                                                  ,95134,1697,8,Master's Degree or Doctor's Degree,3,For-Profit,2015,20,155,12.9
1178,COLLEGE OF MARIN                                                 ,835 COLLEGE AVENUE                                ,KENTFIELD           ,CA,CALIFORNIA                                                  ,94904,2590,5,Associate's Degree,1,Public,2015,109,383,28.4
1179,NOTRE DAME DE NAMUR UNIVERSITY                                   ,1500 RALSTON AVENUE                               ,BELMONT             ,CA,CALIFORNIA                                                  ,94002,1997,8,Master's Degree or Doctor's Degree,2,Nonprofit,2015,24,591,4
1181,COLLEGE OF SAN MATEO                                             ,1700 WEST HILLSDALE BOULEVARD                     ,SAN MATEO           ,CA,CALIFORNIA                                                  ,94402,3784,5,Associate's Degree,1,Public,2015,15,77,19.4
1182,COLLEGE OF THE DESERT                                            ,43-500 MONTEREY AVENUE                            ,PALM DESERT         ,CA,CALIFORNIA                                                  ,92260,9305,5,Associate's Degree,1,Public,2015,30,125,24
